CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas carga y descarga termino municipal","05/03/2014","8-20",""
"zonas peatonales termino municipales","05/03/2014","8-20",""
"zonas  carga y descarga termino municipal","05/03/2014","8-20",""
"zonas carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"carga y descara termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"juan manuel duran gonzalez 45","08/03/2014","8-18",""
"juan manuel duran gonzalez  45","08/03/2014","24",""
"juan manuel duran gonzalez  45","08/03/2014","24",""
"zonas de carga y decarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga  termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga terminom municipal","05/03/2014","8-20",""
"varias calles","05/03/2014","normal","05/03/2014"
"zonas  carga y descraga tyermino municipal","05/03/2014","8-20",""
"zonas de caraga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas  carga y descarga termino municipal","05/03/2014","8-20",""
"avda parque central, avda escaleritas, eusebio navarro","24/02/2014","24 horas","07/04/2014"
"eusebio navarro del 4 al 16","10/03/2014","8 a 20","12/03/2014"
"turina nº 2","07/03/2014","",""
"zonas de carga y decarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga  termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas  de caraga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga  y descarga termino municipal","05/03/2014","8-20",""
"dolores de la rocha  14","10/03/2014","8-18",""
"varias calles","06/03/2014","normal",""
"alemania 77 con barcelona 19","17/03/2014","24",""
"barceloma 19 alemania 77","17/03/2014","24",""
"barceloma 19 alemania 77","17/03/2014","8/18",""
"hornos de la cal con carretera de chile","11/03/2014","24",""
"reyes catolicos con doctor chil o viceversa  12 al 18","11/03/2014","24",""
"varias calles","07/03/2014","normal","07/03/2014"
"gravina  39","10/03/2014","8-20",""
"paseo de los martires  185","10/03/2014","24",""
"plaza de sdan antonio abad","08/03/2014","18-21,00","08/03/2014"
"zaragoza 22-24-28-30-32-34-36","10/03/2014","24",""
"calzada lateral del norte (madiana), 32","08/03/2014","9-12","08/03/2014"
"marina, 3","10/03/2014","8-18","02/04/2014"
"marina, 3","10/03/2014","24","27/03/2014"
"faro 47","13/03/2014","08 a 20","13/03/2014"
"avda apolinario lepanto parraco fco rguez rguez frente manzana  26","11/03/2014","24",""
"turina  2-4","12/03/2014","24",""
"avda mersa y lopez 50 pasaje de inglaterra 5","10/03/2014","normal",""
"eusebi navarro 15","17/03/2014","24","21/03/2014"
"juan de quesada 2","13/03/2014","8/20","13/03/2014"
"herreria  1 con san marcial  5","13/03/2014","8-18",""
"pancho guerra  32","13/03/2014","8-18","13/03/2014"
"termino municipal","10/03/2014","8/20","10/03/2014"
"termino municipal","11/03/2014","8/20","11/03/2014"
"carrila iazdo mediana rotond dr negrin","11/03/2014","8-14",""
"canalejas 24 con cebrian 44","13/03/2014","",""
"MARIUCHA  103-105","14/03/2014","8-20",""
"VARIAS CALLES","12/03/2014","NORMAL","12/03/2014"
"PASEO DE LUGO LUIS MDORESTES SILVA O VICEVERSA","14/03/2014","8-19",""
"AVD. DE ECALERITAS 149","14/03/2014","8/18",""
"JORDE 5-AL 9","14/03/2014","24","15/03/2014"
"MANZANA GRACILIANO AFONSO 40 LEON Y CASTILLO 292HNOD G. LA TORRE","17/03/2014","24",""
"ZONAS PEATONALES TERMINO MUNICIPAL","13/03/2014","N/C",""
"suarez naranjo, 78","14/03/2014","8-20","14/03/2014"
"galicia 12","14/03/2014","8/19","14/03/2014"
"castillo ( frente hospital ) altura subida de san jose","17/03/2014","8/18",""
"albareda113 esq. Juan rejon","15/03/2014","8-20","16/03/2014"
"albareda 113 esq. Con  juan rejon","15/03/2014","8-20","16/03/2014"
"sor simona  44","14/03/2014","24",""
"pibno apolinario  87","14/03/2014","8-18",""
"termino municipal","13/03/2014","8/20","13/03/2014"
"poeta agustin millare sall- mahon","15/03/2014","8/20","15/03/2014"
"buenavista 2","17/03/2014","07/21","21/03/2014"
"garcia morato 24","17/03/2014","7/15+","21/03/2014"
"sor simona 17","17/03/2014","7/15","21/03/2014"
"victor hugo 25-27","17/03/2014","8/18",""
"fragata","17/03/2014","8/15","21/03/2014"
"viera y clavilo 18-21","17/03/2014","8/22",""
"malteses 3","17/03/2014","24",""
"simon bolivar ( entre emilio castelar y comandante ramon franco)","14/03/2014","24",""
"termino municipal","14/03/2014","8/20","14/03/2014"
"alfredo s. perez 14 perez del toro 37","17/03/2014","8-20",""
"galileo 1 51 2º desde 44 esq. Juan manuel duran gonzalez","17/03/2014","24",""
"manuel gonzalez marrtin 48","19/03/2014","24 horas","20/03/2014"
"california 18","19/03/2014","8 a 28","19/03/2014"
"avd. jose mesa y lopez 50","17/03/2014","24 horas","21/03/2014"
"avda escaleritas nº 56","18/03/2014","",""
"mayor de triana nº 20","","",""
"eufemiano jurado entre lectoral feo ramos y reyes catolicos","18/03/2014","8-20",""
"pedro de vera nº 11","21/03/2014","",""
"blas de lezo nº 23","31/03/2014","",""
"bentaguayre, 12","18/03/2014","","20/03/2014"
"fondos del segura, 9-11","19/03/2014","24","17/05/2014"
"francisco gourier 111","24/03/2014","24",""
"paseo de tomas morales 18","20/03/2014","24",""
"plaza de la feria 15","24/03/2014","24",""
"luis morote 14-16","20/03/2014","8/12",""
"alfred nobel 27","20/03/2014","8/18",""
"farmeceitico `pedro rivero frente 3-5-7-","20/03/2014","8/18","21/03/2014"
"termino municipai","18/03/2014","8/20","18/03/2015"
"termino municipal","18/03/2014","8/20","18/03/2014"
"maininidra","21/03/2014","8/19","21/03/2014"
"demetria","24/03/2014","8/19","24/03/2014"
"rosaura","25/03/2014","8/19","25/03/2014"
"avd, alcalde ramirez bethencourt 26-33","21/03/2014","8/18","21/03/2014"
"plaza de santa ana 4","24/03/2014","8/12",""
"malteses 3","20/03/2014","24","18/04/2014"
"pelayo 39","20/03/2014","8/18","20/03/2014"
"guatatiboa17","20/03/2014","9/20","20/03/2014"
"obispo codina  con san marcial 2","21/04/2014","24",""
"pilarillo seco 1","24/03/2014","24","07/04/2014"
"cinci esquina siete, asentamiento rural de la milagrosa","17/03/2014","8/20","21/03/2014"
"lujan perez 67","21/03/2014","8/18","21/03/2014"
"munguia 12-14","20/03/2014","24",""
"doctor juan dominguez perez  51 saulo  paulo","20/03/2014","8-18",""
"varias calles","20/03/2014","normal","20/03/2014"
"judas tadeo  2","25/03/2014","8-20","26/03/2014"
"salvador monsalud esq. Paseo de san antonio","29/03/2014","8-20","29/03/2014"
"teresa de jesus 5 la tornera","25/03/2014","8-20","26/03/2014"
"mayor de triana  6","24/03/2014","8-18","24/03/2014"
"secretario  padilla  94-96","27/03/2014","8-18","27/03/2014"
"olof palme nº 49","","",""
"lujan perez  67","24/03/2014","8-18",""
"amapola  11","24/03/2014","8-15","24/03/2014"
"olof palme  4","24/03/2014","8-18",""
"doctor alberto garcia ibañez  9","24/03/2014","8-20",""
"varias calles","21/03/2014","normal","21/03/2014"
"plaza de la  constitucion hasta arco","24/03/2014","",""
"sor simona nº 51","25/03/2014","",""
"torres quevedo nº 40","24/03/2014","",""
"juan rejon  18","26/03/2014","24",""
"JUAN REJON  18","26/03/2014","8-18",""
"santa teresa de jesus esq carretera marzagan","27/03/2014","",""
"PANAMA Nº 16","31/03/2014","24",""
"albeniz 8","01/04/2014","8/18","04/04/2014"
"paseo de san antonio","01/04/2014","8/20","01/04/2014"
"termino municipal de las palmas","25/03/2014","8/20","25/03/2014"
"manuel gonzalez martin 46","27/03/2014","8/20","27/03/2014"
"almirante benitez inglott 51","01/04/2014","8/20",""
"musico juan reyes de armas, 36-38","28/03/2014","8-20","28/03/2014"
"mariana de pineda  9 con jose franchy roca 39 o viceversa","26/03/2014","","27/03/2014"
"pizarro 1","31/03/2014","8-18","31/03/2014"
"plaza padre hilario 2","28/03/2014","8-18","28/03/2014"
"viera y clavijo  56-48","01/04/2014","8-18",""
"avda pintor felo monzon  37","27/03/2014","8-18",""
"prudencio morales 35","27/03/2014","8-18","27/03/2014"
"pancho guerre  32","27/03/2014","8-18","27/03/2014"
"senador castillo  olivares  37","27/03/2014","24",""
"pqarroco jose guerrra armas s/n","26/03/2014","24",""
"varias calles","26/03/2014","normal","26/03/2014"
"joaquin costa con capitan lucena s/n","26/03/2014","8-20",""
"carvajal   trasera 3","27/03/2014","8-18","27/03/2014"
"paseo de san antonio con pancho guerra","27/03/2014","",""
"paseo de san antonio  67","27/03/2014","8-18","28/03/2014"
"secretario padilla 54-53-55-57","31/03/2014","8-18","31/03/2014"
"alfredo calderon 58","28/03/2014","24",""
"29 de abril 62-64","01/04/2014","24",""
"perez del toro  38","28/03/2014","8-20",""
"zonas peatonales termino municipal","27/03/2014","n/c",""
"zonas peatonales  carril bus taxi","27/03/2014","22-6,00",""
"alicante","31/03/2014","8-20",""
"zaragoza 20-22-24-28-30-32-34-36","29/03/2014","24",""
"varias calles","27/03/2014","normal","27/03/2014"
"san pedro, 9","28/03/2014","8-18","28/03/2014"
"pedro infinito 47","01/04/2014","8-18",""
"cebrian 8-10","29/03/2014","24",""
"varias calles","28/03/2014","normal","28/03/2014"
"buenos aires  53","31/03/2014","24",""
"avenida primero de mayo 8-10","29/03/2014","normal","30/03/2014"
"manuel pescador sanchez y avenida de ansite","01/04/2014","8-14",""
"reyes catolicos con lopez botas o viceversa","04/04/2014","8-18",""
"eduardo benot muelle santa catalina","02/04/2014","7,30-20,00 y 22,00-6,00",""
"galileo   entre el 22- y fernando guanarteme","31/03/2014","24",""
"fernando guanarteme entre galileo y plazaoleta farray","31/03/2014","24",""
"fernando guanarteme lado mar entre diderot y bernardo de la torre","02/04/2014","24",""
"doctor jose guerra navarro","31/03/2014","9-13","31/03/2014"
"varias calles","31/03/2014","normal","31/03/2014"
"secretario padilla  43","10/04/2014","8-20",""
"velarde  26","08/04/2014","8-20",""
"luis dorestes silva 4","02/04/2014","8-18",""
"avda alcalde ramirez bethencourt  17","01/04/2014","24",""
"chopin  4","04/04/2014","24",""
"olof palme nº 2","","",""
"ISLA DE LA GRACIOSA  63","07/04/2014","8-20","08/04/2014"
"reyes catolicos  67","03/04/2014","8-20","03/04/2014"
"urbanizacion  las torres (bloque  1)","07/04/2014","24",""
" varias calles","01/04/2014","normal","01/04/2014"
"reyes catolicos nº 41","02/04/2014","",""
"varias calles","02/04/2014","normal","02/04/2014"
"churruca 13 esq. Secretario padilla  57-59","08/04/2014","10-12",""
"malaga 18","09/04/2014","8-20","10/04/2014"
"secretario padilla 113 esq. El salvador","09/04/2014","8-12","10/04/2014"
"terrero 3-4 esq. Fuente","08/04/2014","10-12","09/04/2014"
"viera y clavijo 18","07/04/2014","normal",""
"musico juan reyes de armas  36","04/04/2014","8-18",""
"pascal tramo fernando guanarteme los martinez de escobar y estacionamiento","07/04/2014","24",""
"munguia  9","07/04/2014","24",""
"varias calles","03/04/2014","normal","03/04/2014"
"viera y clavijo  6","08/04/2014","24",""
"salvador manrique de lara entre churruca y daoiz","08/04/2014","7,30-15,00",""
"doctor jose guerra navarro centr de salud","10/04/2014","7,30-1500",""
"constantino  14","07/04/2014","8-18","07/04/2014"
"zonas pestonales carriles bus taxi","04/04/2014","n/c",""
"zonas peatonales carriles de bus y taxi","04/04/2014","n/c",""
"varias calles","04/04/2014","normal","04/04/2014"
"virgen del pilar  32-34","10/04/2014","24","11/04/2014"
"viera y clavijo  18","08/04/2014","8-20","09/04/2014"
"arinaga  7","07/04/2014","8-20","07/04/2014"
"alfred nobel  39","07/04/2014","8-20","07/04/2014"
"doctor grau bassas  8","08/04/2014","24",""
"tomas miller  45","05/04/2014","24",""
"matias padron  20","09/04/2014","24",""
"leon y castillo  132","05/04/2014","24",""
"gravina  39","07/04/2014","24",""
"viera y clavijo 18-20","08/04/2014","08 a 20","09/04/2014"
"Hebron 21 esquina cafarnaun","14/04/2014","","16/04/2014"
"plaza la libertad","07/04/2014","08 a 20",""
"lujan perez  66-67","09/04/2014","8-18",""
"pancho guerra  32","08/04/2014","8-18","08/04/2014"
"remedios  7","08/04/2014","8-18",""
"plaza stagno  1","08/04/2014","8-18",""
"varias calles","07/04/2014","normal","07/04/2014"
"los martinez de escobar frente nº 5 (zona de carga y descarga)","09/04/2014","",""
"covadonga  15","08/04/2014","8-18",""
" varias calles","08/04/2014","normal","08/04/2014"
"luis dorestes silva esq. Alcalde ramirez bethencourt","07/04/2014","7-15,00",""
"brtavo murillo","07/04/2014","22,00-4,00",""
"venegas cebrian murga","07/04/2014","7,00-15,00",""
"escaleritas y buenavista","08/04/2014","normal",""
"HORNOS DEL CAL CON CARRETERA DE CHILE","10/04/2014","24",""
"NESTOR DE LA TORRE  54","10/04/2014","9-18","11/04/2014"
"OLOF PALME  9","09/04/2014","8-18",""
"PEDRO CERON  13","19/05/2014","24",""
"PEREZ MUÑOZ  4","10/04/2014","15- ,00-22,00","10/04/2014"
"PASEO BLAS CABRERA FELIPE ENTRE CANDELARIA Y ROTONDA SALTO DEL NEGRO","09/04/2014","22,30-6,00","10/04/2014"
"TERMION MUNICIPAL","09/04/2014","8/20","09/04/2014"
"el cid 7","14/04/2014","24",""
"colombia esqui, el cid 7","14/04/2014","24",""
"secreterio artiles  fretnte22","11/04/2014","8/18","11/04/2014"
"terrero 8 a","10/04/2014","8/18","10/04/2014"
"joaquin blume nº4","10/04/2014","",""
"luis benitez inglot (paso de peatones altura de colegio gran canaria)","14/04/2014","",""
"paseo de chil 18","15/04/2014","08 a 19","15/04/2014"
"guantanamo  127","10/04/2014","08 a 18",""
"manzana gutierrez mellado 185 escultor tony gallardo, pintor pepe damaso","10/04/2014","24","06/10/2014"
"zona peatonal entre urano y pluton","11/04/2014","8/18",""
"termino municipal","10/04/2014","8/20","10/04/2014"
"juan rejon  11","12/04/2014","8/20","12/04/2014"
"palmar, 80","11/04/2014","24",""
"tomas miller 30","14/04/2014","08 a 18","14/04/2014"
"la naval faro","14/04/2014","8-18",""
"varias calles","11/04/2014","normal","11/04/2014"
"mariana de pineda  36","14/04/2014","24",""
"gran canaria - eduardo benot","14/04/2014","24","13/05/2014"
"plaza de santa ana  3","15/04/2014","24",""
"varias calles","14/04/2014","normal","14/04/2014"
"viera  y clavijo  18","21/04/2014","24",""
"farmaceutico pedro rivero  29-31","24/04/2014","24",""
"general vives nº 12","15/04/2014","",""
"francisco gourie  35","21/04/2014","24",""
"varias calles","15/04/2014","normal",""
"juan rejon  8","25/04/2014","22-4,00",""
"faya entre 1-3-5-7","21/04/2014","8-18","22/04/2014"
"paseo   madrid  entre leon y castillo y luis dorestes silva 1","16/04/2014","8-18","16/04/2014"
"san diego de alcala  13","21/04/2014","8-18",""
"avda jose mesa y lopez 63","21/04/2014","8-18",""
"varias calles","16/04/2014","normal","16/04/2014"
"jorde 1","21/04/2014","8-18",""
"practicante ignacio rodriguez  13","22/04/2014","24",""
"lepnato 29 zona peatonal con secretario padilla o viceversa","21/04/2014","24",""
"suarez naranjo  87","21/04/2014","24",""
"cebrian  48","21/04/2014","24",""
"cano  22","23/04/2014","8-18","23/04/2014"
"manuel gonzalez martin frente al 23","21/04/2014","8/11","20/04/2015"
"pascal 26","21/04/2014","8/13","20/04/2015"
"san andres 39","21/04/2014","8a 10 y 17 a 20","20/04/2015"
"doctor jose guerra navarro 6","21/04/2014","17 a 20","20/04/2015"
"juan rejon","21/04/2014","16 a 19","20/04/2015"
"cirilo moreno frente al 20","21/04/2014","8 a 11","20/04/2015"
"carretera general de tamaraceite 176","21/04/2014","8 a 11","20/04/2015"
"bentagache 28","21/04/2014","8 a 11","20/04/2015"
"malaga 17","21/04/2014","8 a 11 y 17 a 20","20/04/2015"
"sor simona 2","21/04/2014","","20/04/2015"
"paseo de tomas morales 94","21/04/2014","8 a 10 y 17 a 20","20/04/2015"
"avenida jose mesa y lopez 80","21/04/2014","7 a 10 y 17 a 20","20/04/2015"
"general mas de gaminde entre nestror de la torre y barcelona","21/04/2014","","20/04/2015"
"jesus ferrer jimeno 5","21/04/2014","8 a 11","20/04/2015"
"cronista navarro ruiz 9","21/04/2014","","20/04/2015"
"portugal 70","21/04/2014","8 a 11","20/04/2015"
"fernando guanarteme 50","21/04/2014","8 a 11","20/04/2015"
"nicolas monche lopez s/n","21/04/2014","8 a 11 y 14 a 17","20/04/2015"
"pio coronado 230","21/04/2014","","20/04/2015"
"alonso quintero 38","23/04/2014","8 a 18","23/04/2014"
"francisco gourie 39","26/05/2014","24 horas","26/05/2014"
"mayor de triana esquina lentini 4","22/04/2014","8 A 18","22/04/2014"
"VIRGEN DEL PILAR 32","21/04/2014","24 HRAS","20/05/2014"
"coronel rocha, 29","22/04/2014","8-20","22/04/2014"
"taliarte 31 con faya o viceversa","30/04/2014","",""
"concejal garcia feo 26","24/04/2014","8 a 18","24/04/2014"
