ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
OFICINA DE CONTRACTACIO TEMPORAL,EUROFIRMS ETT,"CTRA SANT CUGAT, 59 LOC 03",DA6,
FABRICACIÓ D'AROMES I PERFUMS,EUROFRAGANCE,"C PONT DE CAN CLAVERI, 8",PI. LA LLANA,
"FABRICACIÓ DE PRODUCTES DE BELLESA, HIGIENE I PERFUMS",EUROFRAGANCE,"PL VERNEDA, 3",PI. LA LLANA,
FABRICACIÓ D'ESÈNCIES I OLIS,EUROFRAGANCE,"PL VERNEDA, 3",PI. LA LLANA,
MAGATZEM DE FRAGANCIES,"EUROFRAGANCE, SL","AV LLANA, 119",PI. LA LLANA,
AGÈNCIA DE VIATGES,EUROPA VIATGES,"C LLOBATERAS, 49",DA4,
FABRICACIÓ DE PA I PASTISSERIA INDUSTRIAL,EUROPASTRY,"C SEGRE, 12-40",PI. CAN SANT JOAN,
FABRICACIÓ DE PA I PASTISSERIA,EUROPASTRY,"C SEGRE, 12-40",PI. CAN SANT JOAN,
FORN DE PA INDUSTRIAL,EUROPASTRY,"C SEGRE, 12-40",PI. CAN SANT JOAN,
TALLER DE REPARACIÓ DE PNEUMÀTICS,EUROTYRE,"AV ESTATUT, 291",PI. CTRA. TERRASSA,
PERRUQUERIA,EVA LLUNA,"AV ESTATUT, 61-67 LOC 07",DA6,
"COMERÇ AL DETALL DE PRODUCTES DE ROBA, COMPLEMENTS I JOGUINES",EVA LUNA PRINCESE,"C SANT CUGAT, 19 ES 02",DA4,
ESTABLIMENT DE TATUATGES I PIERCING,EVOLUTION TATOO & PIERCING,"C BARTRINA, 30",DA6,
MAGATZEM D'ACTIVITATS EXTRACTIVES,EXNIR,"AV LLANA, 75",PI. LA LLANA,
COMERÇ AL DETALL DE CARBURANTS PER VEHICLES DE COMBUSTIO INTERNA I SERVEI DE NETEJA DE VEHICLES,EXPRESS,"CTRA MOLINS DE REI, 69",DA3,
MAGATZEM DE MAQUINÀRIA PER A LA CONSTRUCCIÓ,EXTRAYSE,"C COLLITA, 21",PI. LA BASTIDA,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,"EYREDPLAN, SL","PTGE BACH, 4",PI. CAN JARDI,
COMERÇ A L'ENGRÒS DE PRODUCTES QUIMICS,EZSA SANIDAD AMBIENTAL,"PTGE DOCTOR FERRAN, 22 NV 20",PI. CA N'ALZAMORA,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,F & L JOIERS,"C SANT CUGAT, 20",DA4,
VENDA I REPARACIÓ DE MAQUINARIA HOSTELERIA,F CALVO RUBIFRED,"AV ESTATUT, 17 PB 02",DA6,
FABRICACIÓ D'APARELLS DE CLIMATITZACIÓ,F.ESBRI,"C JOAN PUIG, 20 01 A",DA5,
FABRICACIÓ DE CERVESA,FABRICACIÓ CERVESA,"C COLLITA, 2-6 NV 04",PI. LA BASTIDA,
FABRICACIÓ D'ÒRGANS MECÀNICS DE TRANSMISSIÓ,FABRIMOTOR,"C SCHUMANN, 24",PI. CAN JARDI,
MAGATZEM D'ACCESSORIS I APARELLS DE VIDEO,FABRINA EUROPEA SL,"PG TORRES, 69",PI. CA N'ALZAMORA,
TALLER PER LA MANIPULACIÓ DE CARTRÓ ONDULAT,FAE CENTRE ESPECIAL EMBALATGE,"C CICLISME, 23 NV 05",PI. CAN ROSES,
FABRICACIÓ D'ARTICLES D'ENVASOS D'EMBALATGE I CARTRÓ,FAES,"C CICLISME, 27",PI. CAN ROSES,
FUSTERIA METÀL·LICA,"FANNY, SL","C MURCIA, 30-32 PB 01",DA5,
FABRICACIO D'ENVASOS DE PAPER I CARTRÓ,"FAPEL, SL","C ALT, 21 NV 10",PI. CA N'ALZAMORA,
COMERÇ AL DETALL D'ARTICLES DE PAPERERIA,FARELL PAPERERIA,"C JOSEP SALTO, 17-19",DA5,
FARMÀCIA,FARMACIA,PL JOSEP SAPES,DA1,
FARMÀCIA,FARMACIA,"C SABADELL, 79",DA5,
FARMÀCIA,FARMACIA,"C CALDERON DE LA BARCA, 11",DA6,
FARMÀCIA,FARMACIA,"CTRA SABADELL, 95 Esc 1 PB 01",DA5,
FARMÀCIA,FARMACIA,"C TORRES ORIOL, 4 Esc 1 PB 02",DA6,
FARMÀCIA,FARMACIA BARADAD,"AV BARCELONA, 55",DA4,
FARMÀCIA AMB LABORATORI,FARMACIA CALSINA,"C MARE DE DEU DE LOURDES, 35",DA5,
FARMÀCIA,FARMACIA DEL MERCAT,"C MAGI RAMENTOL, 7",DA4,
FARMÀCIA,FARMACIA DR. BATLLORI,"C MILA I FONTANALS, 5",DA6,
FARMÀCIA,FARMACIA LES TORRES,PG TORRES,DA3,
FARMÀCIA,FARMACIA LLDA. Mª C.GARCIA ROYUELA,"C SEGOVIA, 1",DA5,
"COMERÇ AL DETALL DE PRODUCTES FARMACEUTICS, MEDICS I COSMETICS AMB ORTOPEDIA",FARMACIA SANSI,"CTRA TERRASSA, 16-18",DA5,
FARMÀCIA,FARMACIA SERRA,"PG FRANCESC MACIA, 84",DA4,
FARMÀCIA,FARMACIA XAPELLI,"AV CATALUNYA, 14",DA3,
FARMÀCIA,FARMÀCIA,"C MARE DE DEU DE LOURDES, 73",DA5,
FARMÀCIA,FARMÀCIA BATALLÉ CARULLA,"PG FRANCESC MACIA, 23",DA4,
FARMÀCIA,FARMÀCIA CUYÀS,"C MILA I FONTANALS, 43 Esc 1 PB 01",DA6,
FARMÀCIA,FARMÀCIA KRONOS,"PTGE CRONOS, 11",DA6,
FARMÀCIA,FARMÀCIA PARRILLA,"C XERCAVINS, 2",DA4,
OFICINA DE FARMÀCIA,FARMÀCIA PROGRÉS,"C MARE DE DEU DE FATIMA, 11-13",DA6,
COMERÇ AL DETALL D'ANIMALS DE COMPANYIA I ACCESSORIS,FAUNA LA AMISTAD,"C LLUIS RIBAS, 1 Esc 1 PB 03",DA6,
"COMERÇ DE REALITZACIÓ DE FOTOCÒPIES, FOTOS CARNET",FC DIGITAL PRINT,"C UNIO, 18",DA4,
MAGATZEM DE SERVEIS PÚBLICS DE NETEJA VIÀRIA,FCC PARC DE NETEJA,"C COLLITA, 21",PI. LA BASTIDA,
FABRICACIÓ I ENVASAT DE PINTURES,"FELTON SPRAY, SL","AV CAN SUCARRATS, 102",PI. COVA SOLERA,
FABRICACIÓ DE PRODUCTES METÀL·LICS,FEPRE FERRETERIA Y PRENSAS,"C SCHUBERT, 9",PI. CAN JARDI,
MAGATZEM D'EMBALATGE ALIMENTARI,FERCRISA,"C LONDRES, 5-11 NV 01",PI. COVA SOLERA,
PERRUQUERIA,FEROMI,"C GUADALAJARA, 26 PB 01",DA5,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,FERRETERIA ARANDA,"C LOPE DE VEGA, 19",DA6,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,FERRETERIA CA N'ORIOL,"C PASTORA (LA), 13 PB 01",DA5,
COMERÇ AL DETALL DE PRODUCTES DE FERRETERIA,FERRETERIA CAN FATJO,"AV CASTELLBISBAL, 34 PB",DA1,
COMERÇ AL DETALL DE PRODUCTES DE FERRETERIA,FERRETERIA CENTRE,"AV BARCELONA, 45",DA4,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,FERRETERIA LLOBATERAS,"C LLOBATERAS, 92",DA6,
COMERÇ AL DETALL D'ARTICLES DE FERRETERIA,FERRETERIA MONTURIOL,"C MONTURIOL, 25 Esc 5 PB 31",DA6,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,FERRETERIA ROSILLO,"C MAXIMI FORNES, 10",DA4,
COMERÇ AL DETALL DE PRODUCTES DE FERRETERIA,FERRETERIA RUMA,"C MARE DE DEU DE LOURDES, 7",DA5,
VENDA AL DETALL D'ARTICLES DE FERRETERIA I VIDRE PLA,FERRETERIA Y SUMINISTROS INDUSTRIALES,"CTRA TERRASSA, 106",DA5,www.ferreteriamoreno.com
VENDA A L'ENGRÒS DE MATERIALS PER A LA CONSTRUCCIÓ,FERROLAN,"CTRA TERRASSA, 153",PI. CTRA. TERRASSA,
OFICINA DE CONSTRUCCIÓ I REFORMES DE LA LLAR,FERTRES CONSTRUCCIONES,"TRAV TRAFALGAR, 35 PB",DA5,www.fertres.es
LOCAL DESTINAT A ESDEVENIMENTS LÚDICS I PRIVATS,FESTA A LA CARTA,"C CADMO, 46-50 LOC 01",DA4,
ACTIVITAT RECREATIVA DE LLOGUER PER PRIVATS,FESTES-BRASES,"CTRA RUBI A ULLASTRELL, 143",DA1,http://www.festesbrases.cat/contacto
TALLER DE REPARACIÓ DE VEHICLES,FIAT,"PG PAU CLARIS, 69",DA4,
CONFECCIÓ DE PECES DE VESTIR,FIGUEROA ILF CONFECCIONES,"AV ESTATUT, 168",DA5,
AUTOSERVEI,FINA SHOP,"CTRA MOLINS DE REI, KM 12,7",PI. LA BASTIDA,
OFICINA IMMOBILIÀRIA,FINCAS ESTEVE,"PG FRANCESC MACIA, 52",DA4,
OFICINA IMMOBILIÀRIA,FINCAS GIROL,"C CERVANTES, 69-71",DA4,
AGÈNCIA IMMOBILIÀRIA,FINCAS RIERA,"C CAL PRINCEP, 49",DA4,
OFICINA IMMOBILIÀRIA,FINQUES COLOMER,"AV BARCELONA, 17",DA4,
OFICINA IMMOBILIÀRIA,FINQUES EL MERCAT,"C MAGI RAMENTOL, 21",DA4,
AGENCIA IMMOBILIARIA,FINQUES RIVO,"CTRA SANT CUGAT, 17-19 LOC 06",DA6,
COMERÇ AL DETALL DE PA AMB DEGUSTACIO,FIORELLA'S,"C ANTON DE BORJA, 15 PB 02",DA5,
CENTRE DE FISIOTERAPIA,FISIO VALLES,"C CREU, 7 Esc 1 PB 01",DA4,
CENTRE DE FISIOTERÀPIA I FLOTACIÓ,FISIOFLOTACIÓ GRAVITAS,"C SANT SEBASTIA, 6-8 PB B",DA4,
FABRICACIÓ DE PECES PER AUTOMÒVIL,FIV,"CTRA MOLINS DE REI, Km 8,4 NV 02",PI. CAN JARDI,
"FABRICACIÓ D'ELEMENTS DE FORMIGÓ, GUIX I CIMENT",FIXCER,"AV GAUDI, 76",PI. CAN PI DE VILAROC,www.fixcer.com
FLECA AMB DEGUSTACIÓ,FLECA DEGUSTACIÓ SALVATIERRA,"C PALENCIA, 3",DA5,
FORN DE PA AMB OBRADOR,FLECA FONTSERE DEGUSTACIO,"C EDUARD FONTSERE, 2-12 LOC 02",DA6,
FABRICACIÓ DE PASTES ALIMENTÀRIES,"FLO, SA PRODUCTOS EL PAVO","C BACH, 40",PI. CAN JARDI,
GELATERIA I IOGURTERIA,FLOKS FROM LAND,"PG FRANCESC MACIA, 18",DA4,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,FLOR MODES,"C SANT CUGAT, 10 LOC 01",DA4,
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",FLORISTERIA ARANTXA,"AV ESTATUT, 20",DA6,
COMERÇ AL DETALL DE PLANTES I FLORS,FLORISTERIA LOLI,"C BARTRINA, 17 LOC 02",DA6,
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",FLORISTERIA LOLIA,"C PRAT DE LA RIBA, 24 LOC 03",DA4,
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",FLORISTERIA MARTINEZ,"C MILA I FONTANALS, 4",DA6,www.floristeriamartinez.com
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",FLORS PER A TU,"PL NOVA, 9",DA3,
SERVEIS D'INSTAL·LACIONS ELÈCTRIQUES,FLUMOVA,"C ESCORIAL (EL), 12 LOC 02",DA5,
VESTUARIS,FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA,"C SANT PERE, 10",DA4,
INDÚSTRIA DE FOSA DE METALL,FONDESAL,"C COLLITA, 13-17",PI. LA BASTIDA,
TRACTAMENT I RECOBRIMENT DE METALLS,FONDESAL,C PRAGA,PI. COVA SOLERA,
INDÚSTRIA DE FOSA DE METALLS,FONDESAL,"C COLLITA, 13-17",PI. LA BASTIDA,
EXPOSICIÓ I VENDA DE MOBLES,FONT DE VIDA,"PG TORRES, 39-47 Esc 1 LOC 01",DA3,
VENDA AL DETALL DE PRODUCTES ECOLÒGICS,FONT DE VIDA,"PG TORRES, 39-47 Esc 1 LOC 01",DA3,
PERRUQUERIA,FORBICI DI MANI,"PG FRANCESC MACIA, 63 PB 02",DA4,
EXPOSICIÓ I VENDA DE VEHICLES,FORD J.M. GÓMEZ,"C PRAT DE LA RIBA, 16",DA4,
TALLER DE REPARACIÓ DE VEHICLES,FORD SERVICE,"C PRAT DE LA RIBA, 16",DA4,
TALLER DE PLANXISTERIA INDUSTRIAL,"FORMAD, SA","C INDUSTRIA, 3",PI. CA N'ALZAMORA,
FORN DE PA AMB DEGUSTACIÓ,FORN AMB DEGUSTACIÓ,"AV BARCELONA, 54",DA4,
Forn de pa amb zona de degustació,FORN DE PA BOLLERIA,"C FONT DEL FERRO, 72",DA5,
FORN DE PA AMB DEGUSTACIÓ,FORN DE PA CAN XERCAVINS,"C FRANCESC ROVIRA, 10-12 Esc 3 PB B",DA1,
FORN DE PA AMB DEGUSTACIÓ,FORN DE PA CONCHY'S PA,"AV CATALUNYA, 8",DA3,
COMERÇ AL DETALL DE VENDA DE PA,FORN DE PA ESPIGA D'OR,"C JOAN MARAGALL, 41 Esc 2 PB 04",DA6,
FORN DE PA AMB OBRADOR,FORN DE PA I PASTISSERIA MONTSERRAT,C PLATI,DA1,
VENDA AL DETALL DE PA I PASTISSERIA,FORN DE PA L'ARTESA,"AV ESTATUT, 227 02 01",DA6,
FORN DE PA AMB DEGUSTACIÓ,FORN DE PA SABRINA,"AV CATALUNYA, 2",DA3,
FORN DE PA AMB DEGUSTACIÓ,FORN GRANJA TERE,"C VICTOR BALAGUER, 4-6",DA6,
"FLECA AMB FORN DE POTENCIA SUPERIOR A 7,5 KW",FORN LA PASTORA,"C PASTORA (LA), 22 PB 04",DA5,
COMERÇ AL DETALL DE PA I PASTISSERIA AMB OBRADOR,FORN MARCONI PASTISSERIA,"C MARCONI, 1 LOC",DA6,
FLECA AMB DEGUSTACIÓ,FORN NOU,"C NOU, 3 Esc 1 PB 04",DA4,
FORN DE PA AMB DEGUSTACIÓ,FORN PASTISSERIA ARIBAU,"CTRA SABADELL, 93",DA5,
COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIO AMB FORN DE PA,FORNN DE PA I ALIMENTACIO BADRI,"CTRA TERRASSA, 76 PB 02",DA5,
FOTOGRAFIA I IMATGE DIGITAL,FOTOGRAF MARROYO MARISCAL,"C CERVANTES, 132 LOC 02",DA6,
VENDA AL DETALL DE MATERIAL FOTOGRÀFIC,FOTOPRIX,"AV BARCELONA, 29",DA4,
VENDA AL DETALL DE MATERIAL FOTOGRÀFIC,FOTOS BONELL,"C SANT CUGAT, 9",DA4,
BAR,FRAN. LA BÒBILA,"C BASSES, 11-25 Esc 1 LOC 04",DA5,
FABRICACIÓ DE PRIMERES MATÈRIES PLÀSTIQUES,FRANCESC ROIG,"C VERDI, 10",PI. CAN JARDI,
BAR,FRANKFURT BERLINA,"CTRA SABADELL, 17 PB 02",DA5,
BAR-RESTAURANT,FRANKFURT CAN SOLA,"C ECHEGARAY, 32",DA2,
BAR,FRANKFURT DORI,"C DOCTOR GIMBERNAT, 27 PB A",DA4,
BAR,FRANKFURT NARA,"AV BARCELONA, 31 PB 02",DA4,
EL.LABORACIÓ I COMERÇ AL DETALL DE MENJARS PREPARATS,FRANÇOIS MACARON,"C DOCTOR GIMBERNAT, 15 LOC",DA4,
MAGATZEM DISTRIBUÏDOR D'ALIMENTS,FRATER NADAL SERVEI SOCIAL EVANGELIC,"C DOCTOR GIMBERNAT, 44",DA4,
CONSULTORI MÈDIC,FRATERNIDAD MUPRESPA,"C JOAN MARAGALL, 5 PB",DA6,
VENDA A L'ENGRÒS D'ELECTRODOMÈSTICS,"FREON, SL","C CESAR MARTINELL, 30 Esc 1 PB 01",PI. CAN PI DE VILAROC,
COMERÇ AL DETALL DE FRUITES I VERDURES,FRUITADONA,"AV BARCELONA, 3-5",DA4,
COMERÇ AL DETALL DE FRUITA I VERDURA,FRUITERIA ANTONIA,C MARE DE DEU DE LOURDES,DA5,
VENDA AL DETALL DE CONGELATS,FRUITES & VERDURES QUE FRIO,"CTRA SABADELL, 8",DA5,
COMERÇ D'ALIMENTACIÓ EN GENERAL I FRUITERIA,FRUITES I VERDURES,"C MARE DE DEU DE FATIMA, 31-33",DA6,
FRUITERIA I AUTOSERVEI,FRUITES I VERDURES,"C CAL GERRER, 4 LOC 02",DA6,
COMERÇ AL DETALL DE FRUITES I VERDURES,FRUITES I VERDURES,"C MARE DE DEU DE FATIMA, 45-47 SS 02",DA6,
,FRUITES I VERDURES LA SERRETA,"C SANT JORDI, 25 LOC 02",DA5,
VENDA AL DETALL DE FRUITES I VERDURES,FRUITES I VERDURES LOLI,"C BRILLANT, 3",DA1,
COMERÇ AL DETALL DE FRUITES I VERDURES,FRUITES I VERDURES MARTINEZ LOPEZ,"C DURAN I BAS, 30 PB 06",DA6,
FABRICACIÓ DE CONSERVES DE FRUITES,FRUITS SECS J.M,"CTRA MOLINS DE REI, Km 8,7",PI. CAN JARDI,www.jmfrutos.com
"COMERÇ AL DETALL DE LLAMINADURES, FRUITS SECS I LLEGUMS",FRUITS SECS VERONICA,"CTRA SABADELL, 16 LOC 02",DA5,
COMERÇ AL DETALL DE FRUITES I VERDURES,FRUTAS KATTAR,"C GENERAL CASTAÑOS, 16 PB 06",DA4,
VENDA AL DETALL DE FRUITES I VERDURES,FRUTAS Mª CARMEN,"C BARTRINA, 1-3",DA6,
VENDA AL DETALL DE PRODUCTES ALIMENTARIS,FRUTAS PASTAS Y FRUTOS SECOS,"C MARCONI, 12",DA6,
FRUITERIA-AUTOSERVEI,FRUTAS Y VERDURAS LOS MONTEROS,"C JOAN MARAGALL, 26 Esc 1 PB 01",DA6,
COMERÇ AL DETALL DE FRUITES I HORTALISSES,FRUTERIA ESTACION,"AV CAN CABANYES, 4 Esc 3 ST 05",DA3,
AUTOSERVEI,FRUTERIA LAS TORRES,"PL NOVA, 3",DA3,
VENDA AL DETALL DE PRODUCTES ALIMENTARIS,FRUTERIA MARI,"C LUMIERE, 18",DA6,
INDÚSTRIA DE FOSA DE METALL,"FUNDICION ALUMINIO VM, SCP","AV GAUDI, 124 NV 16",PI. CAN PI DE VILAROC,
INDÚSTRIA DE FOSA DE METALL,FUNDICION HERMITRU,"C TENNIS, 6",PI. CAN ROSES,
BAR,FUSTA I VI,"AV OLIMPIADES, 29 LOCAL 9",DA5,
TALLER DE FUSTERIA,FUSTERIA,"C DOCTOR FERRAN, 4 Esc 1 PB 10",PI. CA N'ALZAMORA,
FABRICACIÓ DE MOBLES DE FUSTA,FUSTERIA GRILMA,"AV CAN SUCARRATS, 108-110",PI. COVA SOLERA,
FABRICACIÓ DE MOBLES DE FUSTA,"FUSTERIA SANT CUGAT, SL","C SCHUBERT, 9",PI. CAN JARDI,
FUSTERIA,FUSTERIA XERRIC,"AV OLIMPIADES, 75C",PI. CAN ROSES,
FUSTERIA,FUSTERIA ZARATE,"C PARIS, 1-7 NV 01",PI. COVA SOLERA,
OFICINA IMMOBILIÀRIA,"G.F. GESTIONES INMOBILIARIAS EUROPEAS, SL","PG FRANCESC MACIA, 65-67",DA4,
FABRICACIO DE PRODUCTES DE MATERIES PLASTIQUES,G6 POLIURETANOS TECNICOS,"C DUBLIN, 4",PI. COVA SOLERA,
FABRICACIÓ DE MATERIES PLÀSTIQUES AMB PINTURES,G6 POLIURETANOS TÈCNICOS,"C DUBLIN, 4",PI. COVA SOLERA,
FABRICACIÓ DE PECES METÀL·LIQUES,"GABE, SL","PTGE DOCTOR FERRAN, 8 NV 13",PI. CA N'ALZAMORA,
GABINET D'ATENCIÓ PSICOLÒGICA,GABINET DE PSICOLOGIA CLINICA,"PL DOCTOR GUARDIET, 17 01 02",DA4,
ASSESSORIA,GABINET ROVIRA,"CTRA SANT CUGAT, 63 PB 06",DA6,www.gabinet-rovira.com
CENTRE COMERCIAL,GALERIES RUBI,"PG FRANCESC MACIA, 46",DA4,
FABRICACIÓ DE PASTAS ALIMENTARIES (CANVI NO SUBST.),GALLINA BLANCA,"C BACH, 40",PI. CAN JARDI,
"VENDA AL DETALL DE MATERIALS PER A LA CONSTRUCCIÓ, PINTURES, VERNISSOS, I MATERIALS DE SANEJAMENT",GAMA LOSADA,"C ARRABASSADA, 1-15",DA2,
PAPERERIA,GARABATOS,"C BASSES, 15-17",DA5,
COMERÇ AL DETALL I REPARACIÓ DE MOTOCICLETES,GARAGE SANTA FE,"AV ESTATUT, 209 LOC 01",DA5,
GARATGE PRIVAT DE VEHICLES,GARATGE COMUNITAT,"C CACERES, 13",DA5,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,GARCIA JOIERS,"PG FRANCESC MACIA, 4",DA4,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,GARCIA JOIERS,"C TORRENT DE L'ALBA, 3",DA4,
OFICINA IMMOBILIÀRIA,GARRIDO,"C RAFAEL CASANOVA, 15",DA4,www.inmobiliariagarrido.com
PERRUQUERIA,GARRIGOS ESTILISTAS,"C MARE DE DEU DE FATIMA, 31-33 PB 01",DA6,
FABRICACIÓ I MAGATZEM DE PRIMERES MATÈRIES PLÀSTIQUES,"GARSOPLAST, SL","C SCHUMANN, 45",PI. CAN JARDI,
FABRICACIÓ DE PECES TÈCNIQUES DE PLÀSTIC,"GARSOPLAST, SL","C CESAR MARTINELL, 32",PI. CAN PI DE VILAROC,
ASSESSORIA,GASET,"C MADRID, 38",DA5,
BENZINERA,GASOLINERA LOW COST,"CTRA MOLINS DE REI, KM 12,7",PI. LA BASTIDA,
OCI PER INFANTS I COMERÇ AL DETALL D'ARTICLES D'ESPORT,GATS & BOTES,"C MARE DE DEU DE FATIMA, 10",DA6,
VENDA AL DETALL D'ARTICLES D'ESPORT,GEDO DISTRIBUCIONES,"C ATLETISME, 19",PI. CAN ROSES,www.gedo.es
COMERÇ AL DETALL DE GELATS,GELATS PROS,"AV BARCELONA, 52",DA4,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,GEMINIS,"AV BARCELONA, 1",DA4,
PERRUQUERIA,GEMMA'S ESTILISTAS,"AV FERRER I DOMINGO, 8-10 LOC 04",DA1,
ÒPTICA,GENERAL OPTICA,"PG FRANCESC MACIA, 20",DA4,
COMERÇ AL DETALL DE ROBA,GENERAL PUNT,"C CALDERON DE LA BARCA, 7 LOC 03",DA6,
COMERÇ AL DETALL D'ARTICLES DE MERCERIA,GENERES DE PUNT GEMMA,"PG FRANCESC MACIA, 63 PB 01",DA4,
APARCAMENT PRIVAT DE CAMIONS,GERARDO MORENO TRANSPORTS,"C ALT, 19 NV 09",PI. CA N'ALZAMORA,
MAGATZEM DE MAQUINÀRIA,GRIÑO ROTAMIK,"C LONDRES, 14",PI. COVA SOLERA,
APARCAMENT PRIVAT DE CAMIONS,GERARDO MORENO TRANSPORTS,"C STRAUSS, 16 NV 06",PI. CAN JARDI,
FABRICACIÓ DE PECES METÀL·LIQUES,"GERATOR, SL","PTGE STRAUSS, 1",PI. CAN JARDI,
FABRICACIÓ DE MATERIAL I MAQUINÀRIA PER A LA CONSTRUCCIÓ,GERMANS BOADA - CUTMAN,"AV OLIMPIADES, 89-91",PI. CAN ROSES,
TALLER DE TALL I POLIMENT DE PEDRA NATURAL,"GERMANS SERRA, SA","CTRA TERRASSA, 161-163",PI. CTRA. TERRASSA,
APARCAMENT PRIVAT DE VEHICLES,GESTALZAMORA,"AV ELECTRICITAT, 17",DA3,
"RECOLLIDA, VALORIZACIO I TRANSFERENCIA, D'OLIS VEGETALS USATS.",GESTIÓ ESPECIALITZADA D'OLIS I LÍQUIDS IND.,"C ATENES, 23-25 NV 03",PI. COVA SOLERA,
GESTORIA,GESTORIA JULIA - GENERALI SEGUROS,"C ABAT ESCARRE, 18 LOC",DA4,
GESTORIA,GESTORIA RIDAO,"C PINTOR MURILLO, 53",DA4,
OFICINA DE GESTIONS IMMOBILIÀRIES,GESTORS I ADMINSTRADORS LORENTE (TECNISEM),"PG FRANCESC MACIA, 51 01 02",DA4,
COMERÇ AL DETALL I INSTAL.LACIÓ D'APARELLS DE CLIMATITZACIÓ,GILSAN INSTALACION Y MANTENIMIENTO,"C CATI CURET, 1 LOC 01",DA1,
GIMNÀS,"GIMNAS SEUL, SL","CTRA MOLINS DE REI, 43-45",DA3,
MAGATZEM DE BARRES DE COURE,"GINDRE TORNS, SL","C LONDRES, 29A NV 01",PI. COVA SOLERA,
BAR RESTAURANT AMB TERRASSA PRIVADA,GIULIANO CUINA Y SABORES,"C UNIO, 9 PB 02",DA4,
VENDA A L'ENGRÒS D'ELECTRODOMÈSTICS,GLAMER,"C LLUIS RIBAS, 27-29",DA6,
PERFUMERIA,GLISS,"C SANT CUGAT, 42",DA4,
TALLER DE REPARACIÓ D'ELECTRODOMÈSTICS,GM LINIA BLANCA,"C GENERAL CASTAÑOS, 37",DA4,
VENDA A L'ENGRÒS DE VÀLVULES,GMR,"CTRA SABADELL, 247 NV 86",PI. LA BASTIDA,
BAR,GOMEZ,"C MARE DE DEU DE LOURDES, 76 02",DA5,
GESTORIA,GONZALEZ SEGURA ASSESSORS,"C LLUIS RIBAS, 11 PB 01",DA6,
COMERÇ AL DETALL D'ARTICLES PER A MOTORISTES,GOYA MOTO,"AV ESTATUT, 132 PB 04",DA5,
LLOGUER DE TRASTERS PER L'EMMAGATZEMATGE D'ARTICLES DOMÈSTICS.,GRACER S.L.,"AV FERRER I DOMINGO, 26-28",DA1,
OFICINES D'INDÚSTRIA,"GRACER, SL","AV FERRER I DOMINGO, 26-28",DA1,
INDÚSTRIA D'ARTS GRÀFIQUES,GRAFICAS DITEG,"C LISBOA, 14 NV 11",PI. COVA SOLERA,
INDÚSTRIA D'ARTS GRÀFIQUES,GRAFICAS DOBLE P,"C HOQUEI, 6 NV 12",PI. CAN ROSES,
TALLER DE MECÀNICA EN GENERAL,GRAMI,"CAMI RIERA, 30B NV 04",PI. COVA SOLERA,
COMERÇ AL DETALL DE PRODUCTES DIVERSOS,GRAN BASSAR FORTUNA,"C PRAT DE LA RIBA, 43",DA4,
COMERÇ AL DETALL DE ROBA I ELS SEUS COMPLEMENTS,GRAN ESTIL,"C LLUIS RIBAS, 27-29 Esc 1 PB 05",DA6,
VENDA A L'ENGRÒS D'OUS I ALTRES PRODUCTES ALIMENTARIS,GRANGES MAGATZEM CANYELLES,"C JOAN MARAGALL, 26 AT 01",DA6,
BAR,GRANJA MORENO,"AV CAN CABANYES, 8 ES 01",DA3,
BAR,GRANJA NATALI,"C MAGI RAMENTOL, 23 PB 02",DA4,
BAR,GRANJA RUSTICA,"C SANT JAUME, 30",DA4,
MAGATZEM DE CADENES I TRANSMISSIONS,GRAUPE CADENAS Y TRANSMISIONES,"C NATACIO, 21 NV 01",PI. CAN ROSES,
ASSOCIACIÓ DE FUMADORS DE CANNABIS,GREEN PRAT,"C MENDEZ NUÑEZ, 7",DA4,
FABRICACIÓ I MUNTATGE DE VEHICLES ELÈCTRICS,"GREENCAR, SL","C VIVALDI, 13-15",PI. CAN JARDI,
INDÚSTRIA D'ARTS GRÀFIQUES,GRIFOLL,"CTRA TERRASSA, 147",PI. CTRA. TERRASSA,www.grifoll.com
"EXPOSICIÓ I VENDA DE MOBLES DE CUINA, BANYS I COMPLEMENTS",GRILMA II,"C SANT CUGAT, 15",DA4,
MAGATZEM DE MAQUINÀRIA INDUSTRIAL,"GRIÑO-ROTAMIK, SA","C LONDRES, 5-11 NV 07",PI. COVA SOLERA,
